"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"MO_RF_MN004","403","201806","66.33","4","3"
"MO_RF_MN004","403","201807","63.32","4","3"
"MO_RF_MN004","403","201808","63.81","4","3"
"MO_RF_MN004","403","201809","70.58","4","3"
"MO_RF_MN004","403","201810","79.12","4","3"
"MO_RF_MN004","403","201811","88.81","4","3"
"MO_RF_MN004","403","201812","89.67","4","3"
"MO_RF_MN004","403","201901","86.95","4","3"
"MO_RF_MN004","403","201902","76.03","4","3"
"MO_RF_MN004","403","201903","78.91","4","3"
"MO_RF_MN004","403","201904","59.64","4","3"
"MO_RF_MN004","403","201905","69.31","4","3"
"MO_RF_MN004","403","201906","62.63","4","3"
"MO_RF_MN004","403","201907","67.12","4","3"
"MO_RF_MN004","403","201908","68.87","4","3"
"MO_RF_MN004","403","201909","77.72","4","3"
"MO_RF_MN004","403","201910","85.84","4","3"
"MO_RF_MN004","403","201911","91.45","4","1"
"MO_RF_MN004","403","201912","86.58","4","1"
"MO_RF_MN004","403","202001","86.46","4","1"
"MO_RF_MN004","420","201001","83.71","4","10"
"MO_RF_MN004","420","201002","79.82","4","10"
"MO_RF_MN004","420","201003","70.61","4","10"
"MO_RF_MN004","420","201004","58.43","4","10"
"MO_RF_MN004","420","201005","75.87","4","10"
"MO_RF_MN004","420","201006","60.9","4","10"
"MO_RF_MN004","420","201007","54.87","4","10"
"MO_RF_MN004","420","201008","75.29","4","10"
"MO_RF_MN004","420","201009","79.33","4","10"
"MO_RF_MN004","420","201010","78.45","4","10"
"MO_RF_MN004","420","201011","86.27","4","10"
"MO_RF_MN004","420","201012","90.52","4","10"
"MO_RF_MN004","420","201101","87","4","10"
"MO_RF_MN004","420","201102","71.68","4","10"
"MO_RF_MN004","420","201103","65.94","4","10"
"MO_RF_MN004","420","201104","59.07","4","10"
"MO_RF_MN004","420","201105","56.32","4","10"
"MO_RF_MN004","420","201106","61.93","4","10"
"MO_RF_MN004","420","201107","72.77","4","10"
"MO_RF_MN004","420","201108","71.97","4","10"
"MO_RF_MN004","420","201109","73.43","4","10"
"MO_RF_MN004","420","201110","79.48","4","10"
"MO_RF_MN004","420","201111","86.43","4","10"
"MO_RF_MN004","420","201112","82.06","4","10"
"MO_RF_MN004","420","201201","80.1","4","10"
"MO_RF_MN004","420","201202","77.03","4","10"
"MO_RF_MN004","420","201203","67.29","4","10"
"MO_RF_MN004","420","201204","60.93","4","10"
"MO_RF_MN004","420","201205","58.16","4","10"
"MO_RF_MN004","420","201206","64.43","4","10"
"MO_RF_MN004","420","201207","68","4","10"
"MO_RF_MN004","420","201208","67.68","4","10"
"MO_RF_MN004","420","201209","71.2","4","10"
"MO_RF_MN004","420","201210","80.58","4","10"
"MO_RF_MN004","420","201211","88.43","4","10"
"MO_RF_MN004","420","201212","88.74","4","10"
"MO_RF_MN004","420","201301","87.06","4","10"
"MO_RF_MN004","420","201302","85.79","4","10"
"MO_RF_MN004","420","201303","71.74","4","10"
"MO_RF_MN004","420","201304","64.1","4","10"
"MO_RF_MN004","420","201305","68.48","4","7"
"MO_RF_MN004","420","201306","65.03","4","3"
"MO_RF_MN004","420","201307","59.82","4","3"
"MO_RF_MN004","420","201308","63.04","4","3"
"MO_RF_MN004","420","201309","77.89","4","3"
"MO_RF_MN004","420","201310","77.88","4","3"
"MO_RF_MN004","420","201311","85.56","4","3"
"MO_RF_MN004","420","201312","85.93","4","3"
"MO_RF_MN004","420","201401","87.16","4","3"
"MO_RF_MN004","420","201402","75.29","4","3"
"MO_RF_MN004","420","201403","71.53","4","3"
"MO_RF_MN004","420","201404","69.69","4","3"
"MO_RF_MN004","420","201405","69.97","4","3"
"MO_RF_MN004","420","201406","66.02","4","3"
"MO_RF_MN004","420","201407","66.44","4","3"
"MO_RF_MN004","420","201408","69","4","3"
"MO_RF_MN004","420","201409","78.55","4","3"
"MO_RF_MN004","420","201410","85.42","4","3"
"MO_RF_MN004","420","201411","88.41","4","3"
"MO_RF_MN004","420","201412","87","4","3"
"MO_RF_MN004","420","201501","85.89","4","3"
"MO_RF_MN004","420","201502","80.91","4","3"
"MO_RF_MN004","420","201503","72.13","4","3"
"MO_RF_MN004","420","201504","61.52","4","3"
"MO_RF_MN004","420","201505","59.79","4","3"
"MO_RF_MN004","420","201506","60.65","4","3"
"MO_RF_MN004","420","201507","60.33","4","3"
"MO_RF_MN004","420","201508","56.37","4","3"
